TRANSPORT_ID,IDENTIFIER_NUMBER,REGISTRATION_NUMBER_1,REGISTRATION_NUMBER_2,DEPARTURE_DATE,NAT_TRANSPORT_MODE_CODE,INTL_TRANSPORT_MODE_CODE,NATIONALITY,CUSTOMS_OFFICE,CMR_NUMBER,CMR_DATE,TIR_NUMBER,TIR_DATE,CARRIER_CODE,HAS_IDENTIFIER_DEFECT,HAS_CMR_NUMBER_DEFECT,HAS_TIR_NUMBER_DEFECT,HAS_TIR_DATE_DEFECT,HAS_CMR_DATE_DEFECT,HAS_CUSTOMS_OFFICE_DEFECT,HAS_TRANSPORT_DEFECT
368036,D072004201,,,12/03/15,3,2,RO,ROIS2700,,,,,CALBERSON,0,0,0,0,0,0,0
368038,D072004301,,,12/03/15,3,2,RO,ROIS2700,,,,,CALBERSON,0,0,0,0,0,0,0
368040,D072008301,IS78ROT,IS33ROT,13/03/15,3,3,RO,ROIS0100,151,13/03/15,GX78536081,13/03/15,PROIECT-AUTOPR,0,0,0,0,0,0,0
367431,,,,11/03/15,3,1,RO,ROCT1900,,,,,P&ONEDLLOYD,0,0,0,0,0,0,0
367432,,,,11/03/15,3,1,RO,ROCT1900,,,,,CMACGM,0,0,0,0,0,0,0
367433,,,,11/03/15,3,1,RO,ROCT1900,,,,,CMACGM,0,0,0,0,0,0,0
367435,,,,12/03/15,3,1,RO,ROCT1900,,,,,CMACGM,0,0,0,0,0,0,0
367436,,,,12/03/15,3,1,RO,ROCT1970,,,,,ARKAS,0,0,0,0,0,0,0
367437,,,,11/03/15,3,1,RO,DE002452,,,,,P&ONEDLLOYD,0,0,0,0,0,0,0
367439,,,,11/03/15,3,1,RO,DE004851,,,,,CMACGM,0,0,0,0,0,0,0
370115,,TRFA0532818,,31/03/15,3,3,FR,BG003102,,,,,,0,0,0,0,0,0,2
369803,,,,31/03/15,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
369804,,,,31/03/15,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
369806,D093000901,,,31/03/15,3,2,RO,ROIS2700,,,,,CALBERSON,0,0,0,0,0,0,0
370067,,,,31/03/15,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
370080,,,CMAU5354172,02/04/15,3,1,FR,FR002300,,,,,MERTZ,0,0,0,0,0,,2
370081,,B316MIH,,02/04/15,3,3,TR,BG001011,,,,,,0,0,0,0,0,0,2
618241,,72A720-10,72A719-10,18/03/17,3,3,RO,BG001011,295,18/03/17,UX80679562,18/03/17,ARAMESH HAML,,,,,,,
618242,,72A719,72A719-11,18/03/17,3,3,RO,,295,18/03/17,UX80679562,18/03/17,ARAMESH HAML,,,,,,,
619009,,72A720-10,72A719-10,18/03/17,3,3,RO,,295,18/03/17,UX80679562,18/03/17,RAMESH-TAML,0,0,0,0,0,,2
605604,,HASU488425,,13/02/17,3,1,FR,FR002300,,,,,,,,,,,,
607521,,HASU488425,,13/02/17,3,1,FR,FR002300,,,,,,0,0,0,0,0,,2
505762,P207450003,Y540BM-754,Y540BM-755,15/07/16,3,3,RO,ROIS8200,0,15/07/16,0,15/07/16,D-TRANSGROUP,,,,,,,
505763,P207450003,BT3781-50,Y540BM-755,15/07/16,3,3,RO,,0,15/07/16,0,15/07/16,D-TRANSGROUP,,,,,,,
