,SENDER_SITE_LOC_ID,sum(ITEMS_TOTAL_AMOUNT),year
0,15705,1059237974.0,2017
1,15801,12531848256.0,2017
2,8627,28521692304.0,2017
3,15793,748974778302.0,2017
4,7597,524884448.0,2017
5,7597,2254851640.0,2018
6,15695,12979272.0,2017
7,15705,0.0,2018
8,15801,0.0,2018
9,8627,0.0,2018
10,15793,0.0,2018
11,15695,0.0,2018
